symbol,sector,entry_price,exit_price,entry_date,exit_date,pnl_pct,pnl_usd,exit_reason,hold_days,conviction_score,conviction_tier,correction_score,position_pct,regime
ASTS,space,2.821,4.3174,2023-10-24,2023-11-13,53.04,4773.97,profit_take_50pct,13,0.614,medium,53,10.0,neutral
ARQQ,quantum_computing,0.4534,0.6947,2023-10-20,2023-11-15,53.24,5323.96,profit_take_50pct,17,0.518,medium,48,10.0,bear
SPCE,space,1.7329,2.5607,2023-11-03,2023-12-20,47.77,3869.11,profit_take_50pct,31,0.705,medium,44,10.0,neutral
RKLB,space,4.3524,3.7814,2023-11-10,2024-04-08,-13.12,-956.35,stop_loss,99,0.566,medium,42,10.0,bull
UEC,energy_transition,4.3121,6.4612,2024-08-05,2024-10-02,49.84,5632.25,profit_take_50pct,40,0.609,medium,42,10.0,bear
NXE,energy_transition,5.1181,7.9797,2024-08-05,2024-10-17,55.91,5686.72,profit_take_50pct,51,0.587,medium,42,10.0,bear
DNN,energy_transition,1.4709,2.243,2024-08-05,2024-10-18,52.49,4324.37,profit_take_50pct,52,0.539,medium,42,10.0,bear
UUUU,energy_transition,4.5539,6.9971,2024-08-05,2024-10-21,53.65,4911.16,profit_take_50pct,53,0.582,medium,42,10.0,bear
KTOS,defense_tech,20.0493,31.363,2024-08-09,2025-01-14,56.43,4184.06,profit_take_50pct,106,0.647,medium,44,10.0,bear
UEC,energy_transition,5.6722,4.5357,2025-03-24,2025-04-02,-20.04,-2759.98,stop_loss,6,0.646,medium,52,10.0,bear
NXE,energy_transition,5.1483,3.9204,2025-03-24,2025-04-07,-23.85,-2956.97,stop_loss,9,0.585,medium,52,10.0,bear
UUUU,energy_transition,3.758,5.697,2025-04-01,2025-06-05,51.6,5756.95,profit_take_50pct,44,0.626,medium,55,10.0,bear
ON,ai_infrastructure,38.3354,56.5526,2025-05-06,2025-07-09,47.52,11488.12,profit_take_50pct,42,0.77,high,52,20.0,bull
UEC,energy_transition,5.8939,8.7737,2025-05-07,2025-07-28,48.86,3401.91,profit_take_50pct,54,0.74,medium,55,10.0,bull
GERN,biotech_platforms,1.4105,1.1215,2025-05-06,2025-07-30,-20.49,-3962.25,stop_loss,57,0.751,high,52,20.0,bull
RCUS,biotech_platforms,8.0197,12.1184,2025-05-08,2025-09-08,51.11,5124.02,profit_take_50pct,82,0.77,high,53,20.0,bull
NXE,energy_transition,5.8435,8.8035,2025-05-08,2025-09-22,50.65,2031.4,profit_take_50pct,92,0.718,medium,53,10.0,bull
MRVL,ai_infrastructure,58.4904,88.3027,2025-05-08,2025-10-07,50.97,6387.65,profit_take_50pct,103,0.787,high,53,20.0,bull
RXRX,biotech_platforms,4.6899,3.712,2025-05-06,2026-02-06,-20.85,-1613.14,stop_loss,189,0.724,medium,52,10.0,bull
