symbol,sector,entry_price,exit_price,entry_date,exit_date,pnl_pct,exit_reason,hold_days,pyramid_levels,conviction,resistance,slippage_cost_pct,immediately_wrong,regime
NVDA,semiconductors,527.9401,801.8408,2024-01-09,2024-02-23,51.88,profit_t3,31,0,2,506.1146,1.494,False,bull
NVDA,semiconductors,802.9775,1174.8322,2024-02-26,2024-06-05,46.31,profit_t3,70,2,2,655.3283,1.494,False,bull
NVDA,semiconductors,1249.7836,1188.7173,2024-06-06,2024-06-07,-4.89,immediately_wrong,1,0,2,1023.0801,1.494,True,bull
NVDA,semiconductors,121.2728,176.6253,2024-06-10,2025-07-29,45.64,profit_t3,283,2,2,1028.0625,1.494,False,bull
NVDA,semiconductors,177.8338,169.7771,2025-07-30,2025-09-03,-4.53,stop_loss,24,0,2,81.5998,1.494,False,bull
NVDA,semiconductors,171.8493,175.8611,2025-09-04,2026-02-27,2.33,end_of_period,122,1,2,168.8223,1.494,False,bull
AMD,semiconductors,119.2276,173.0821,2023-11-13,2024-01-22,45.17,profit_t3,46,2,2,106.512,1.494,False,neutral
AMD,semiconductors,167.7488,154.3437,2024-01-23,2024-04-18,-7.99,stop_loss,60,0,2,145.2171,1.494,False,bull
AMD,semiconductors,185.4505,162.1844,2024-07-11,2024-07-18,-12.55,stop_loss,5,0,2,161.909,1.494,False,bull
AMD,semiconductors,156.4748,234.5278,2025-07-16,2025-10-09,49.88,profit_t3,60,2,2,135.92,1.494,False,bull
AMD,semiconductors,234.5158,218.5485,2025-10-10,2025-10-13,-6.81,immediately_wrong,1,0,2,190.9149,1.494,True,neutral
AMD,semiconductors,245.1852,230.9547,2025-10-24,2025-11-20,-5.8,stop_loss,19,0,2,196.5247,1.494,False,bull
SMCI,semiconductors,317.3625,288.7282,2023-12-19,2023-12-26,-9.02,stop_loss,4,0,2,297.7346,1.494,False,bull
SMCI,semiconductors,349.6025,327.5349,2024-01-10,2024-01-18,-6.31,stop_loss,5,0,2,323.1759,1.494,False,bull
SMCI,semiconductors,439.27,667.9525,2024-01-23,2024-02-06,52.06,profit_t3,10,1,3,344.6017,1.494,False,bull
SMCI,semiconductors,680.0625,1037.6588,2024-02-07,2024-02-16,52.58,profit_t3,7,0,2,351.4016,1.494,False,bull
SMCI,semiconductors,945.1962,726.4306,2024-02-23,2024-04-22,-23.14,stop_loss,40,0,2,358.2015,1.494,False,bull
SMCI,semiconductors,40.8944,56.7809,2025-02-11,2025-02-20,38.85,profit_t3,6,0,2,32.0176,1.494,False,bull
SMCI,semiconductors,44.3804,41.1441,2025-05-15,2025-11-10,-7.29,stop_loss,123,2,2,38.7768,1.494,False,bull
SMCI,semiconductors,31.4441,28.8123,2026-01-20,2026-02-02,-8.37,stop_loss,9,0,2,32.0103,1.494,False,neutral
MRVL,semiconductors,54.405,51.1733,2023-11-13,2023-12-06,-5.94,stop_loss,16,0,2,50.3425,1.494,False,neutral
MRVL,semiconductors,58.5055,80.3429,2023-12-14,2024-03-08,37.33,profit_t3,57,0,2,55.3944,1.494,False,bull
MRVL,semiconductors,75.1394,68.5619,2024-09-03,2024-09-04,-8.75,immediately_wrong,1,0,3,71.6028,1.494,True,bull
MRVL,semiconductors,84.761,79.8615,2024-10-17,2024-10-18,-5.78,immediately_wrong,1,0,2,79.1405,1.494,True,neutral
MRVL,semiconductors,81.809,121.5813,2024-10-22,2024-12-16,48.62,profit_t3,38,2,2,79.2765,1.494,False,bull
